geneSymbol,numVariantes
WNK2,6
OR1J2,6
SLC6A5,6
TCP11L1,6
MSANTD4,6
NLRX1,6
PTPRB,6
TMEM132D,6
KL,6
STARD9,6
SRRM2,6
KIAA0195,6
DSEL,6
CDH4,6
DSCR3,6
TSPEAR,6
ARHGAP6,6
AR,6
CYLC1,6
RPS6KA6,6
PRDM16,6
PCM1,6
COL19A1,6
ZNF713,6
TRDMT1,6
WDFY4,6
IREB2,6
MBTPS2,6
DENND2C,6
PPIA,6
FXN,6
FAM186A,6
TRIM23,6
C1RL,6
SMAD4,6
ATF6,6
PPP1R12B,6
C5orf42,6
HK3,6
GLCCI1,6
RNF157,6
ZNF440,6
BMP2K,6
AKR1C1,6
IGDCC4,6
DNM1P46,6
CYP4F12,6
PRRX1,6
DENND4C,6
B4GALNT3,6
CYP46A1,6
GNB1,6
LRPPRC,6
SLC6A20,6
DNAH1,6
BMP3,6
SPCS3,6
GRIA1,6
TREML2,6
ZC3HAV1,6
SMARCA2,6
TJP2,6
CACFD1,6
FADS1,6
NID2,6
EDC4,6
RNF213,6
FAM129C,6
ZNF436,6
WDR63,6
DCST1,6
KIAA1614,6
PPFIA4,6
CDK18,6
OR2T27,6
SIX3,6
KIAA1715,6
BMPR2,6
GPD1L,6
SNTN,6
ARHGAP31,6
LRRC58,6
PBX2P1,6
TNK2,6
ZFYVE28,6
TLR10,6
SOWAHB,6
LRBA,6
CDH18,6
TBCA,6
SLC35A4,6
TCERG1,6
TRIM15,6
CCHCR1,6
DDX39B,6
MDGA1,6
AIM1,6
SGK1,6
KIAA1244,6
ADGB,6
MLLT4,6
NFE2L3,6
PEBP4,6
STC1,6
ESRP1,6
ZNF623,6
RPS6,6
RPL7A,6
OBP2A,6
PBLD,6
EIF5AL1,6
LRIT2,6
FAM53B,6
ZRANB1,6
HBG2,6
DYNC2H1,6
ATM,6
VSIG2,6
ERC1,6
CSRNP2,6
UTP20,6
CLN5,6
PLEKHG3,6
RPS6KL1,6
ZFYVE21,6
GANC,6
MESDC2,6
ACSM1,6
CHD9,6
MON1B,6
MBTPS1,6
ZNF276,6
RNF222,6
SRCIN1,6
KRT39,6
RP11-81K2.1,6
RNASEH2A,6
WDR62,6
PVR,6
DHX34,6
ZNF584,6
ABHD12,6
GINS1,6
BPIFB4,6
STK4,6
RRP1,6
AC006547.14,6
SH3BP1,6
CYB561A3,6
ZNF845,6
ACAP3,5
PIP5K1A,5
ST6GAL2,5
FLNB,5
ADCY5,5
EBF1,5
TMEM151B,5
SMURF1,5
CLEC5A,5
LAPTM4B,5
ALG8,5
BAG5,5
GABRB3,5
RLTPR,5
SERPINB13,5
ANKLE1,5
MEGF8,5
ZNF813,5
LENG8,5
STAU1,5
BCAS1,5
PARVB,5
B4GALT2,5
RCOR3,5
STRN,5
TIA1,5
SLC22A14,5
SLIT2,5
FRAS1,5
QKI,5
SAMD9L,5
NEFM,5
KIAA1549L,5
OAS3,5
TBX3,5
SEL1L,5
KIFC3,5
BZRAP1,5
RIT2,5
ZNF626,5
ZNF831,5
CLCN5,5
EPS15,5
KIF14,5
SRGAP2,5
GPATCH11,5
LONRF2,5
WDFY3,5
SLC6A18,5
TERT,5
FEM1C,5
HIVEP1,5
TBC1D7,5
FBXO9,5
TMEM209,5
ZFHX4,5
CEP57,5
CHD4,5
SOX5,5
METTL20,5
PIBF1,5
IGDCC3,5
SRL,5
RPRD2,5
TRIB2,5
LRP2,5
MLTK,5
SHROOM3,5
ADH7,5
SORBS2,5
FCHSD1,5
NSD1,5
TRPM6,5
RABGAP1,5
ZBTB43,5
TYSND1,5
LETMD1,5
POLR2M,5
MYO9A,5
SEC11A,5
SNTB2,5
TMEM170A,5
SETBP1,5
PPP1R16B,5
RFWD2,5
DPP10,5
LCT,5
ERBB4,5
MST1,5
PXK,5
C4orf33,5
POU4F2,5
CTD-2127H9.1,5
CEP78,5
SHANK2,5
ZC3H12C,5
BCL9L,5
RP11-168K9.2,5
NAV3,5
UBC,5
ATG2B,5
NUBP2,5
TASP1,5
MEGF6,5
PAX7,5
TNFSF18,5
CAPN8,5
EML6,5
MTHFD2,5
KCNJ3,5
CCDC141,5
COL5A2,5
ING5,5
RFT1,5
ADIPOQ,5
ATP10D,5
PABPC4L,5
DDX60,5
SLC6A3,5
ATXN1,5
CDSN,5
TAP2,5
RFX6,5
POU6F2,5
AUTS2,5
COL1A2,5
CPA4,5
